"","Experiment","siRNA","rupturing","total","rupturing_frequency","neg"
"1","data/030923_DNA_Final1.csv","ADK",14,59,0.23728813559322,45
"2","data/030923_DNA_Final1.csv","ALOX5AP",22,101,0.217821782178218,79
"3","data/030923_DNA_Final1.csv","ARHGAP18",9,43,0.209302325581395,34
"4","data/030923_DNA_Final1.csv","ARID4A",15,75,0.2,60
"5","data/030923_DNA_Final1.csv","ARRDC3",30,81,0.37037037037037,51
"6","data/030923_DNA_Final1.csv","ASAP3",11,32,0.34375,21
"7","data/030923_DNA_Final1.csv","ATL2",27,59,0.457627118644068,32
"8","data/030923_DNA_Final1.csv","ATP9A",15,89,0.168539325842697,74
"9","data/030923_DNA_Final1.csv","BANF1",13,55,0.236363636363636,42
"10","data/030923_DNA_Final1.csv","BDH1",14,51,0.274509803921569,37
"11","data/030923_DNA_Final1.csv","CAMSAP2",29,129,0.224806201550388,100
"12","data/030923_DNA_Final1.csv","CARD8",9,45,0.2,36
"13","data/030923_DNA_Final1.csv","CHST14",9,47,0.191489361702128,38
"14","data/030923_DNA_Final1.csv","CNBP",23,91,0.252747252747253,68
"15","data/030923_DNA_Final1.csv","CPEB2",34,96,0.354166666666667,62
"16","data/030923_DNA_Final1.csv","CTCF",14,68,0.205882352941176,54
"17","data/030923_DNA_Final1.csv","CTDNEP1",26,85,0.305882352941176,59
"18","data/030923_DNA_Final1.csv","CTRL",25,107,0.233644859813084,82
"19","data/030923_DNA_Final1.csv","DAZAP1",9,23,0.391304347826087,14
"20","data/030923_DNA_Final1.csv","DDX56",8,35,0.228571428571429,27
"21","data/030923_DNA_Final1.csv","DIAPH3",22,92,0.239130434782609,70
"22","data/030923_DNA_Final1.csv","DNAH1",18,88,0.204545454545455,70
"23","data/030923_DNA_Final1.csv","ECD",12,58,0.206896551724138,46
"24","data/030923_DNA_Final1.csv","EIF1AX",4,14,0.285714285714286,10
"25","data/030923_DNA_Final1.csv","ELF2",10,46,0.217391304347826,36
"26","data/030923_DNA_Final1.csv","ELOVL1",21,54,0.388888888888889,33
"27","data/030923_DNA_Final1.csv","ERN1",9,52,0.173076923076923,43
"28","data/030923_DNA_Final1.csv","FAR1",6,26,0.230769230769231,20
"29","data/030923_DNA_Final1.csv","FHL1",13,54,0.240740740740741,41
"30","data/030923_DNA_Final1.csv","GOLGA1",38,115,0.330434782608696,77
"31","data/030923_DNA_Final1.csv","HDAC3",13,123,0.105691056910569,110
"32","data/030923_DNA_Final1.csv","HNRNPU",13,60,0.216666666666667,47
"33","data/030923_DNA_Final1.csv","HSFX1",18,72,0.25,54
"34","data/030923_DNA_Final1.csv","KAT8",14,71,0.197183098591549,57
"35","data/030923_DNA_Final1.csv","LEMD3",5,31,0.161290322580645,26
"36","data/030923_DNA_Final1.csv","LIMCH1",29,76,0.381578947368421,47
"37","data/030923_DNA_Final1.csv","LMNA",8,60,0.133333333333333,52
"38","data/030923_DNA_Final1.csv","LMNB1",17,75,0.226666666666667,58
"39","data/030923_DNA_Final1.csv","LNPK",6,48,0.125,42
"40","data/030923_DNA_Final1.csv","LY9",10,39,0.256410256410256,29
"41","data/030923_DNA_Final1.csv","MEN1",22,55,0.4,33
"42","data/030923_DNA_Final1.csv","MRPL43",22,74,0.297297297297297,52
"43","data/030923_DNA_Final1.csv","MSH2",14,58,0.241379310344828,44
"44","data/030923_DNA_Final1.csv","MYCBP2",11,51,0.215686274509804,40
"45","data/030923_DNA_Final1.csv","NDC1",18,77,0.233766233766234,59
"46","data/030923_DNA_Final1.csv","NDE1",7,13,0.538461538461538,6
"47","data/030923_DNA_Final1.csv","NEMP1",11,54,0.203703703703704,43
"48","data/030923_DNA_Final1.csv","NF2",14,53,0.264150943396226,39
"49","data/030923_DNA_Final1.csv","NHS",18,79,0.227848101265823,61
"50","data/030923_DNA_Final1.csv","NIPBL",10,70,0.142857142857143,60
"51","data/030923_DNA_Final1.csv","NPM1",18,41,0.439024390243902,23
"52","data/030923_DNA_Final1.csv","NRM",11,40,0.275,29
"53","data/030923_DNA_Final1.csv","NSDHL",8,36,0.222222222222222,28
"54","data/030923_DNA_Final1.csv","NUP153",8,42,0.19047619047619,34
"55","data/030923_DNA_Final1.csv","NUP98",5,47,0.106382978723404,42
"56","data/030923_DNA_Final1.csv","PDPK1",7,91,0.0769230769230769,84
"57","data/030923_DNA_Final1.csv","PIN1",22,77,0.285714285714286,55
"58","data/030923_DNA_Final1.csv","PLXDC2",17,67,0.253731343283582,50
