"","siRNA","ruptured","total","rupture_frequency","rupture_neg","NEG","POS","p"
"1","ADK",119,775,0.153548387096774,656,1903,289,0.13534911996451
"2","ALOX5AP",260,1536,0.169270833333333,1276,1903,289,0.00150666696563512
"3","ARHGAP18",159,1452,0.109504132231405,1293,1903,289,0.0461500333548464
"4","ARID4A",194,837,0.231780167264038,643,1903,289,2.99734418870468e-10
"5","ARRDC3",150,1153,0.13009540329575,1003,1903,289,0.898610093855659
"6","ASAP3",75,540,0.138888888888889,465,1903,289,0.817071021240667
"7","ATL2",162,1485,0.109090909090909,1323,1903,289,0.0395520214123686
"8","ATP9A",228,1490,0.153020134228188,1262,1903,289,0.0706892290802399
"9","BANF1",208,1401,0.148465381870093,1193,1903,289,0.167431041900119
"10","BDH1",142,1058,0.13421550094518,916,1903,289,0.872637792879884
"11","CAMSAP2",246,1343,0.183172002978407,1097,1903,289,3.58420064881094e-05
"12","CARD8",104,1218,0.0853858784893268,1114,1903,289,4.75990546562772e-05
"13","CHST14",129,1234,0.104538087520259,1105,1903,289,0.019221292104766
"14","CNBP",206,1402,0.146932952924394,1196,1903,289,0.226053358260608
"15","CPEB2",171,1598,0.107008760951189,1427,1903,289,0.0214575976537839
"16","CTCF",159,1488,0.106854838709677,1329,1903,289,0.0236053036029411
"17","CTDNEP1",297,1209,0.245657568238213,912,1903,289,1.43552498784292e-16
"18","CTRL",289,2192,0.131843065693431,1903,1903,289,0.999999999998744
"19","DAZAP1",82,749,0.109479305740988,667,1903,289,0.11514643123449
"20","DDX56",110,895,0.122905027932961,785,1903,289,0.508864024092104
"21","DIAPH3",140,608,0.230263157894737,468,1903,289,8.39712083209591e-08
"22","DNAH1",188,1627,0.115550092194222,1439,1903,289,0.141240362016429
"23","ECD",125,1520,0.0822368421052632,1395,1903,289,2.33488806391744e-06
"24","EIF1AX",43,551,0.0780399274047187,508,1903,289,0.00139436385148458
"25","ELF2",94,772,0.121761658031088,678,1903,289,0.555704219611988
"26","ELOVL1",132,1473,0.0896130346232179,1341,1903,289,8.47258630613753e-05
"27","ERN1",204,1479,0.137931034482759,1275,1903,289,0.611221681499782
"28","FAR1",97,856,0.113317757009346,759,1903,289,0.181635930371385
"29","FHL1",104,1115,0.0932735426008969,1011,1903,289,0.00119832865588122
"30","GOLGA1",174,989,0.175935288169869,815,1903,289,0.00128660506468691
"31","HDAC3",222,1145,0.193886462882096,923,1903,289,2.96332489958632e-06
"32","HNRNPU",105,1305,0.0804597701149425,1200,1903,289,3.35888956673376e-06
"33","HSFX1",141,1305,0.108045977011494,1164,1903,289,0.0414848574334356
"34","KAT8",147,1124,0.130782918149466,977,1903,289,0.947901500046847
"35","LEMD3",89,837,0.106332138590203,748,1903,289,0.0577094766249338
"36","LIMCH1",120,990,0.121212121212121,870,1903,289,0.4217940543564
"37","LMNA",168,1262,0.133122028526149,1094,1903,289,0.963808646113129
"38","LMNB1",229,1248,0.18349358974359,1019,1903,289,4.67100068063586e-05
"39","LNPK",120,1437,0.0835073068893528,1317,1903,289,6.66094135251473e-06
"40","LY9",102,868,0.117511520737327,766,1903,289,0.320638608134696
"41","MEN1",103,996,0.103413654618474,893,1903,289,0.0238205998541214
"42","MRPL43",132,1041,0.126801152737752,909,1903,289,0.71778007481691
"43","MSH2",153,1449,0.105590062111801,1296,1903,289,0.0176819258473244
"44","MYCBP2",95,1346,0.0705794947994056,1251,1903,289,1.40675755129267e-08
"45","NDC1",252,1427,0.176594253679047,1175,1903,289,0.000224472864762969
"46","NDE1",70,515,0.135922330097087,445,1903,289,0.885190331825144
"47","NEMP1",102,810,0.125925925925926,708,1903,289,0.717981183384092
"48","NF2",116,1263,0.0918448139350752,1147,1903,289,0.000433313886858115
"49","NHS",187,1066,0.175422138836773,879,1903,289,0.00103797202238267
"50","NIPBL",235,1504,0.15625,1269,1903,289,0.0368995832862231
"51","NPM1",164,1592,0.103015075376884,1428,1903,289,0.00764003932381648
"52","NRM",100,1383,0.0723065798987708,1283,1903,289,2.54685295112059e-08
"53","NSDHL",120,989,0.121334681496461,869,1903,289,0.421765502886251
"54","NUP153",113,813,0.138991389913899,700,1903,289,0.716960977581951
"55","NUP98",88,1072,0.082089552238806,984,1903,289,3.40619059203771e-05
"56","PDPK1",186,1014,0.183431952662722,828,1903,289,0.000139242198345239
"57","PIN1",157,1391,0.112868439971244,1234,1903,289,0.10895261592112
"58","PLXDC2",147,911,0.161361141602634,764,1903,289,0.0313613749609531
"59","PML",125,1262,0.0990491283676704,1137,1903,289,0.00437967753500019
"60","POMGNT2",71,564,0.125886524822695,493,1903,289,0.821716141708158
"61","PPFIBP1",115,908,0.126651982378855,793,1903,289,0.754962158400885
"62","PPP2R3A",139,1260,0.11031746031746,1121,1903,289,0.0752068587132048
"63","PRKCA",185,1559,0.118665811417575,1374,1903,289,0.252711505809082
