"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GOBP_CYTOSKELETON_ORGANIZATION","GOBP_CYTOSKELETON_ORGANIZATION","GOBP_CYTOSKELETON_ORGANIZATION","9/25","19/92",0.0297524042957337,0.994722215760945,0.994722215760945,"23271/81624/8841/3192/23077/4771/5170/5921/23353",9
"GOCC_NUCLEAR_PROTEIN_CONTAINING_COMPLEX","GOCC_NUCLEAR_PROTEIN_CONTAINING_COMPLEX","GOCC_NUCLEAR_PROTEIN_CONTAINING_COMPLEX","7/25","15/92",0.0658617030304503,0.994722215760945,0.994722215760945,"8841/3192/55706/4928/5903/6597/23353",7
"GOBP_PROTEIN_LOCALIZATION_TO_NUCLEUS","GOBP_PROTEIN_LOCALIZATION_TO_NUCLEUS","GOBP_PROTEIN_LOCALIZATION_TO_NUCLEUS","7/25","16/92",0.0943815014739795,0.994722215760945,0.994722215760945,"23399/8841/3192/4771/4928/5903/23353",7
"GOBP_TISSUE_DEVELOPMENT","GOBP_TISSUE_DEVELOPMENT","GOBP_TISSUE_DEVELOPMENT","7/25","16/92",0.0943815014739795,0.994722215760945,0.994722215760945,"5926/23399/3192/80856/4771/5170/6275",7
"GOCC_NUCLEAR_MEMBRANE","GOCC_NUCLEAR_MEMBRANE","GOCC_NUCLEAR_MEMBRANE","7/25","16/92",0.0943815014739795,0.994722215760945,0.994722215760945,"23399/4001/55706/11270/4928/5903/23353",7
"GOCC_CATALYTIC_COMPLEX","GOCC_CATALYTIC_COMPLEX","GOCC_CATALYTIC_COMPLEX","6/25","14/92",0.135209844508926,0.994722215760945,0.994722215760945,"23399/8841/3192/5700/5903/6597",6
"GOBP_REGULATION_OF_CYTOSKELETON_ORGANIZATION","GOBP_REGULATION_OF_CYTOSKELETON_ORGANIZATION","GOBP_REGULATION_OF_CYTOSKELETON_ORGANIZATION","5/25","11/92",0.138366612208189,0.994722215760945,0.994722215760945,"23271/3192/23077/4771/5921",5
"GOMF_CYTOSKELETAL_PROTEIN_BINDING","GOMF_CYTOSKELETAL_PROTEIN_BINDING","GOMF_CYTOSKELETAL_PROTEIN_BINDING","5/25","11/92",0.138366612208189,0.994722215760945,0.994722215760945,"23271/81624/3192/4771/6275",5
"HP_ABNORMALITY_OF_THE_BLADDER","HP_ABNORMALITY_OF_THE_BLADDER","HP_ABNORMALITY_OF_THE_BLADDER","5/25","11/92",0.138366612208189,0.994722215760945,0.994722215760945,"64834/3192/4001/4771/5921",5
"HP_ABNORMALITY_OF_THE_LOWER_URINARY_TRACT","HP_ABNORMALITY_OF_THE_LOWER_URINARY_TRACT","HP_ABNORMALITY_OF_THE_LOWER_URINARY_TRACT","6/25","15/92",0.181441938827911,0.994722215760945,0.994722215760945,"64834/3192/4001/4771/5921/6597",6
"HP_ABNORMALITY_OF_THE_CEREBRAL_SUBCORTEX","HP_ABNORMALITY_OF_THE_CEREBRAL_SUBCORTEX","HP_ABNORMALITY_OF_THE_CEREBRAL_SUBCORTEX","5/25","12/92",0.191427175663875,0.994722215760945,0.994722215760945,"3192/4001/80856/5903/6597",5
"GOCC_NUCLEAR_ENVELOPE","GOCC_NUCLEAR_ENVELOPE","GOCC_NUCLEAR_ENVELOPE","7/25","19/92",0.216538204374678,0.994722215760945,0.994722215760945,"23399/4001/55706/11270/4928/5903/23353",7
"GOBP_REGULATION_OF_CELL_DEATH","GOBP_REGULATION_OF_CELL_DEATH","GOBP_REGULATION_OF_CELL_DEATH","6/25","16/92",0.23367820124027,0.994722215760945,0.994722215760945,"22900/8841/4771/5170/5700/5921",6
