"","siRNA","Area","Solidity","rupture_frequency","cat"
"1","RASA1",3796,0.96014171833481,0.0604425256341069,"low_rupture"
"2","MYCBP2",4300,0.963132937889049,0.0705794947994056,"low_rupture"
"3","NRM",4124,0.964285714285714,0.0723065798987708,"low_rupture"
"4","ARID4A",4624,0.962618889626189,0.231780167264038,"high_rupture"
"5","CTDNEP1",4788,0.956103427540589,0.245657568238213,"high_rupture"
"6","POMGNT2",3274,0.959741041322455,0.125886524822695,"low_area"
"7","LMNB1",3486,0.960309797508658,0.18349358974359,"low_area"
"8","NEMP1",3622,0.960574084397135,0.125925925925926,"low_area"
"9","S100A4",4856,0.964487237106405,0.081140350877193,"high_area"
"10","ERN1",4860,0.964628383216383,0.137931034482759,"high_area"
"11","TEN1",5056,0.960355687291589,0.173708920187793,"high_area"
"12","CTDNEP1",4788,0.956103427540589,0.245657568238213,"low_solidity"
"13","DIAPH3",4248,0.956700909071371,0.230263157894737,"low_solidity"
"14","NDE1",3656,0.956737393221273,0.135922330097087,"low_solidity"
"15","GOLGA1",4424,0.964995269631031,0.175935288169869,"high_solidity"
"16","TPR",4596,0.965442471244989,0.104889589905363,"high_solidity"
"17","LY9",4772,0.966005171728787,0.117511520737327,"high_solidity"
